unified_id,month,zipcode,city,host_type,bedrooms,bathrooms,guests,revenue,openness,occupancy,nightly_rate,lead_time,length_stay
AIR10524187,2019-5,92315,Big Bear Lake,Single Owners,4,2,7,0.0,31,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10524187,2019-6,92315,Big Bear Lake,Single Owners,4,2,7,0.0,30,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10524187,2019-7,92315,Big Bear Lake,Single Owners,4,2,7,0.0,31,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10524187,2019-8,92315,Big Bear Lake,Single Owners,4,2,7,0.0,31,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10524187,2019-9,92315,Big Bear Lake,Single Owners,4,2,7,0.0,30,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10542265,2019-1,92314,Big Bear City,2-5 Units,3,1,10,0.0,31,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10542265,2019-2,92314,Big Bear City,2-5 Units,3,1,10,0.0,28,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10542265,2019-3,92314,Big Bear City,2-5 Units,3,1,10,0.0,31,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10542265,2019-4,92314,Big Bear City,2-5 Units,3,1,10,0.0,30,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10542265,2019-5,92314,Big Bear City,2-5 Units,3,1,10,0.0,4,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10551482,2019-11,92314,Big Bear City,2-5 Units,5,4,16,7874.360046,30,0.533333333,492.1475029,58.85714286,2.285714286
AIR10551482,2019-4,92314,Big Bear City,2-5 Units,5,4,16,3374.600067,30,0.266666667,421.8250084,9.0,3.0
AIR10551482,2019-8,92314,Big Bear City,2-5 Units,5,4,16,6434.279999,31,0.419354839,494.9446153,45.2,2.2
AIR10551482,2019-9,92314,Big Bear City,2-5 Units,5,4,16,2749.700043,30,0.2,458.2833405,6.5,2.5
AIR10577529,2019-1,92315,Big Bear Lake,Professionals,3,2,8,2294.739944,29,0.448275862,176.5184573,21.0,2.857142857
AIR10577529,2019-2,92315,Big Bear Lake,Professionals,3,2,8,1674.819962,28,0.321428571,186.0911068,34.33333333,1.5
AIR10577529,2019-3,92315,Big Bear Lake,Professionals,3,2,8,974.8999786,31,0.161290323,194.9799957,9.8,1.0
AIR10577529,2019-4,92315,Big Bear Lake,Professionals,3,2,8,0.0,30,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10577529,2019-6,92315,Big Bear Lake,Professionals,3,2,8,1514.819962,17,0.529411765,168.3133291,30.968203896761153,4.749502715945883
AIR10577529,2019-7,92315,Big Bear Lake,Professionals,3,2,8,0.0,10,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10634162,2019-2,92315,Big Bear Lake,Single Owners,3,2,8,0.0,2,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10833910,2019-1,92284,Yucca Valley,Single Owners,3,1,6,1401.849976,31,0.419354839,107.8346135,20.0,4.25
AIR10833910,2019-10,92284,Yucca Valley,Single Owners,3,1,6,3424.609917,31,1.0,110.4712876,30.968203896761153,4.749502715945883
AIR10833910,2019-2,92284,Yucca Valley,Single Owners,3,1,6,990.8899841,28,0.321428571,110.0988871,6.0,2.75
AIR10833910,2019-3,92284,Yucca Valley,Single Owners,3,1,6,1759.789955,31,0.35483871,159.980905,14.83333333,2.333333333
AIR10833910,2019-4,92284,Yucca Valley,Single Owners,3,1,6,1804.789955,30,0.5,120.3193303,28.5,2.5
AIR10833910,2019-5,92284,Yucca Valley,Single Owners,3,1,6,1124.879974,31,0.193548387,187.4799957,7.25,1.5
AIR10833910,2019-6,92284,Yucca Valley,Single Owners,3,1,6,0.0,30,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR10833910,2019-7,92284,Yucca Valley,Single Owners,3,1,6,329.9599915,31,0.064516129,164.9799957,48.0,2.0
AIR10833910,2019-9,92284,Yucca Valley,Single Owners,3,1,6,3329.619919,30,1.0,110.9873306,30.968203896761153,4.749502715945883
AIR1096822,2019-10,92284,Yucca Valley,Single Owners,3,3,8,0.0,31,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR1096822,2019-11,92284,Yucca Valley,Single Owners,3,3,8,6000.0,30,0.5,400.0,21.16666667,2.5
